cost_efficiency_rank,abbreviation,TEAM_NAME,payroll_million,W,L,W_PCT,expected_win_pct,cost_efficiency
1,OKC,Oklahoma City Thunder,156.928871,68,14,0.829,0.47766502520518417,0.3513349747948158
2,CLE,Cleveland Cavaliers,171.406031,64,18,0.78,0.5022422732339632,0.2777577267660368
3,BOS,Boston Celtics,196.193787,61,21,0.744,0.5443233738979647,0.1996766261020353
4,HOU,Houston Rockets,163.004279,52,30,0.634,0.4879789824517732,0.14602101754822683
5,IND,Indiana Pacers,169.267588,50,32,0.61,0.4986119310945929,0.11138806890540709
6,MEM,Memphis Grizzlies,156.09024,48,34,0.585,0.47624131764847955,0.10875868235152042
7,DET,Detroit Pistons,128.229921,44,38,0.537,0.42894405974541666,0.10805594025458337
8,LAL,Los Angeles Lakers,176.29735,50,32,0.61,0.5105460538270409,0.0994539461729591
9,DEN,Denver Nuggets,181.8362,50,32,0.61,0.5199491197767301,0.0900508802232699
10,NYK,New York Knicks,203.135371,51,31,0.622,0.5561078006557406,0.06589219934425938
11,MIL,Milwaukee Bucks,184.821334,48,34,0.585,0.5250168525860063,0.05998314741399369
12,GSW,Golden State Warriors,189.602887,48,34,0.585,0.5331342881910388,0.05186571180896116
13,LAC,LA Clippers,208.691657,50,32,0.61,0.565540466948082,0.044459533051917965
14,MIN,Minnesota Timberwolves,204.608272,49,33,0.598,0.5586082809432306,0.039391719056769414
15,ORL,Orlando Magic,150.359238,41,41,0.5,0.4665120435638228,0.03348795643617719
16,ATL,Atlanta Hawks,161.255749,40,42,0.488,0.48501057873890685,0.002989421261093139
17,SAC,Sacramento Kings,167.641247,40,42,0.488,0.49585096235926274,-0.007850962359262748
18,CHI,Chicago Bulls,163.78091,39,43,0.476,0.48929743529154557,-0.01329743529154559
19,DAL,Dallas Mavericks,184.504295,39,43,0.476,0.5244786291956592,-0.04847862919565926
20,TOR,Toronto Raptors,121.341369,30,52,0.366,0.4172496631190658,-0.051249663119065814
21,POR,Portland Trail Blazers,167.410438,36,46,0.439,0.49545912790828794,-0.05645912790828794
22,SAS,San Antonio Spurs,154.852894,34,48,0.415,0.47414072889077996,-0.05914072889077998
23,MIA,Miami Heat,176.139325,37,45,0.451,0.5102777816231178,-0.05927778162311775
24,BKN,Brooklyn Nets,98.812623,26,56,0.317,0.3790035859727634,-0.0620035859727634
25,PHX,Phoenix Suns,210.557299,36,46,0.439,0.5687076866352933,-0.12970768663529325
26,PHI,Philadelphia 76ers,178.208373,24,58,0.293,0.5137903148740763,-0.22079031487407635
27,CHA,Charlotte Hornets,156.063102,19,63,0.232,0.4761952466402841,-0.2441952466402841
28,UTA,Utah Jazz,146.986348,17,65,0.207,0.46078603417359787,-0.2537860341735979
29,WAS,Washington Wizards,166.294208,18,64,0.22,0.493564152542459,-0.273564152542459
30,NOP,New Orleans Pelicans,209.413673,21,61,0.256,0.5667662022658341,-0.31076620226583407
