team_name,abbreviation,total_salary,matched_players,total_salary($M),TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,PTS,FG_PCT,FG3_PCT,FT_PCT,REB,AST,TOV
Phoenix Suns,PHX,210557299,15,210.6,1610612756,Phoenix Suns,82,36,46,0.439,9317,0.478,0.378,0.81,3484,2277,1153.0
New Orleans Pelicans,NOP,209413673,19,209.4,1610612740,New Orleans Pelicans,82,21,61,0.256,9006,0.452,0.347,0.754,3576,2119,1201.0
Los Angeles Clippers,LAC,208691657,16,208.7,1610612746,LA Clippers,82,50,32,0.61,9256,0.482,0.373,0.797,3591,2064,1220.0
Minnesota Timberwolves,MIN,204608272,18,204.6,1610612750,Minnesota Timberwolves,82,49,33,0.598,9372,0.468,0.377,0.789,3634,2142,1186.0
New York Knicks,NYK,203135371,17,203.1,1610612752,New York Knicks,82,51,31,0.622,9494,0.486,0.369,0.8,3497,2254,1088.0
Boston Celtics,BOS,196193787,15,196.2,1610612738,Boston Celtics,82,61,21,0.744,9534,0.462,0.368,0.799,3716,2144,973.0
Golden State Warriors,GSW,189602887,17,189.6,1610612744,Golden State Warriors,82,48,34,0.585,9331,0.451,0.364,0.764,3721,2386,1152.0
Milwaukee Bucks,MIL,184821334,15,184.8,1610612749,Milwaukee Bucks,82,48,34,0.585,9472,0.486,0.387,0.75,3556,2090,1097.0
Dallas Mavericks,DAL,184504295,17,184.5,1610612742,Dallas Mavericks,82,39,43,0.476,9364,0.479,0.364,0.77,3530,2070,1151.0
Denver Nuggets,DEN,181836200,14,181.8,1610612743,Denver Nuggets,82,50,32,0.61,9902,0.506,0.376,0.77,3751,2542,1169.0
Philadelphia 76ers,PHI,178208373,22,178.2,1610612755,Philadelphia 76ers,82,24,58,0.293,8988,0.454,0.341,0.78,3263,1901,1117.0
Los Angeles Lakers,LAL,176297350,15,176.3,1610612747,Los Angeles Lakers,82,50,32,0.61,9298,0.479,0.366,0.785,3479,2131,1145.0
Miami Heat,MIA,176139325,16,176.1,1610612748,Miami Heat,82,37,45,0.451,9069,0.465,0.367,0.791,3558,2166,1114.0
Cleveland Cavaliers,CLE,171406031,16,171.4,1610612739,Cleveland Cavaliers,82,64,18,0.78,9999,0.491,0.383,0.776,3723,2304,1082.0
Indiana Pacers,IND,169267588,17,169.3,1610612754,Indiana Pacers,82,50,32,0.61,9624,0.488,0.368,0.789,3430,2398,1082.0
Sacramento Kings,SAC,167641247,17,167.6,1610612758,Sacramento Kings,82,40,42,0.488,9490,0.478,0.357,0.806,3624,2169,1092.0
Portland Trail Blazers,POR,167410438,16,167.4,1610612757,Portland Trail Blazers,82,36,46,0.439,9093,0.45,0.342,0.762,3671,1952,1309.0
Washington Wizards,WAS,166294208,16,166.3,1610612764,Washington Wizards,82,18,64,0.22,8856,0.439,0.335,0.778,3583,2058,1276.0
Chicago Bulls,CHI,163780910,17,163.8,1610612741,Chicago Bulls,82,39,43,0.476,9660,0.47,0.367,0.809,3760,2383,1203.0
Houston Rockets,HOU,163004279,15,163.0,1610612745,Houston Rockets,82,52,30,0.634,9372,0.455,0.353,0.738,3974,1914,1139.0
Atlanta Hawks,ATL,161255749,15,161.3,1610612737,Atlanta Hawks,82,40,42,0.488,9691,0.472,0.358,0.775,3649,2426,1273.0
Oklahoma City Thunder,OKC,156928871,16,156.9,1610612760,Oklahoma City Thunder,82,68,14,0.829,9881,0.482,0.374,0.819,3672,2202,961.0
Memphis Grizzlies,MEM,156090240,15,156.1,1610612763,Memphis Grizzlies,82,48,34,0.585,9980,0.479,0.367,0.786,3875,2330,1285.0
Charlotte Hornets,CHA,156063102,20,156.1,1610612766,Charlotte Hornets,82,19,63,0.232,8618,0.43,0.339,0.783,3706,1994,1271.0
San Antonio Spurs,SAS,154852894,15,154.9,1610612759,San Antonio Spurs,82,34,48,0.415,9342,0.465,0.357,0.774,3581,2348,1138.0
Orlando Magic,ORL,150359238,15,150.4,1610612753,Orlando Magic,82,41,41,0.5,8645,0.445,0.318,0.775,3431,1887,1165.0
Utah Jazz,UTA,146986348,15,147.0,1610612762,Utah Jazz,82,17,65,0.207,9175,0.454,0.35,0.774,3724,2093,1412.0
Detroit Pistons,DET,128229921,14,128.2,1610612765,Detroit Pistons,82,44,38,0.537,9471,0.476,0.362,0.774,3670,2165,1219.0
Toronto Raptors,TOR,121341369,17,121.3,1610612761,Toronto Raptors,82,30,52,0.366,9091,0.458,0.348,0.748,3700,2340,1257.0
Brooklyn Nets,BKN,98812623,15,98.8,1610612751,Brooklyn Nets,82,26,56,0.317,8619,0.437,0.344,0.787,3387,2063,1244.0
