team_name,abbreviation,total_salary,matched_players,total_salary($M)
Minnesota Timberwolves,MIN,203437045,16,203.4
New Orleans Pelicans,NOP,201805216,13,201.8
Boston Celtics,BOS,190330934,13,190.3
New York Knicks,NYK,186313117,13,186.3
Milwaukee Bucks,MIL,182929477,14,182.9
Dallas Mavericks,DAL,178840144,14,178.8
Denver Nuggets,DEN,172688824,11,172.7
Cleveland Cavaliers,CLE,168962825,14,169.0
Los Angeles Clippers,LAC,166592229,14,166.6
Los Angeles Lakers,LAL,166039537,11,166.0
Indiana Pacers,IND,164822406,14,164.8
Philadelphia 76ers,PHI,163247671,12,163.2
Houston Rockets,HOU,163004279,15,163.0
Sacramento Kings,SAC,156949552,11,156.9
Oklahoma City Thunder,OKC,156928871,16,156.9
Portland Trail Blazers,POR,152933087,14,152.9
Memphis Grizzlies,MEM,151453834,12,151.5
Atlanta Hawks,ATL,146226496,12,146.2
Miami Heat,MIA,146076527,13,146.1
San Antonio Spurs,SAS,141174974,13,141.2
Golden State Warriors,GSW,140221827,13,140.2
Chicago Bulls,CHI,134404275,14,134.4
Orlando Magic,ORL,132135768,12,132.1
Utah Jazz,UTA,131151057,12,131.2
Washington Wizards,WAS,118872262,11,118.9
Detroit Pistons,DET,112995528,11,113.0
Toronto Raptors,TOR,107376712,12,107.4
