SEASON,TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,PTS,FG_PCT,FG3_PCT,FT_PCT,REB,AST,TOV,TEAM_ABBREVIATION,TOTAL_SALARY,AVG_AGE,PLAYER_COUNT,PAYROLL_MILLION
2019-20,1610612749,Milwaukee Bucks,73,56,17,0.767,8663,0.476,0.355,0.742,3774,1889,1102.0,MIL,120508857,29.2,15,120.508857
2019-20,1610612761,Toronto Raptors,72,53,19,0.736,8118,0.458,0.374,0.796,3268,1816,1067.0,TOR,123954360,26.066666666666666,15,123.95436
2019-20,1610612747,Los Angeles Lakers,71,52,19,0.732,8054,0.48,0.349,0.729,3247,1803,1077.0,LAL,112574480,28.866666666666667,15,112.57448
2019-20,1610612746,LA Clippers,72,49,23,0.681,8377,0.466,0.371,0.791,3431,1708,1051.0,LAC,112809960,27.076923076923077,13,112.80996
2019-20,1610612738,Boston Celtics,72,48,24,0.667,8183,0.461,0.364,0.801,3317,1655,995.0,BOS,110895676,24.846153846153847,13,110.895676
2019-20,1610612743,Denver Nuggets,73,46,27,0.63,8124,0.473,0.359,0.777,3222,1952,1005.0,DEN,126563179,25.846153846153847,13,126.563179
2019-20,1610612754,Indiana Pacers,73,45,28,0.616,7989,0.476,0.363,0.787,3125,1888,967.0,IND,112436544,25.066666666666666,15,112.436544
2019-20,1610612745,Houston Rockets,72,44,28,0.611,8482,0.451,0.345,0.791,3188,1557,1057.0,HOU,146985821,29.333333333333332,18,146.985821
2019-20,1610612760,Oklahoma City Thunder,72,44,28,0.611,7950,0.468,0.355,0.796,3088,1562,986.0,OKC,133296631,24.6875,16,133.296631
2019-20,1610612762,Utah Jazz,72,44,28,0.611,8013,0.471,0.38,0.779,3233,1615,1089.0,UTA,118016051,26.0,16,118.016051
2019-20,1610612748,Miami Heat,73,44,29,0.603,8179,0.468,0.379,0.783,3239,1892,1088.0,MIA,141232933,26.8125,16,141.232933
